address1,address2,link,price
1605 Av. du Docteur-Penfield #203,"Montréal (Ville-Marie), QC",/ListingDetails/1605-Av-du-Docteur-Penfield-203-Montréal-(Ville-Marie)-QC-H3H1B2/16654496,"$2,399"
1200 Rue de Royan #308,"Laval (Laval-des-Rapides), QC",/ListingDetails/1200-Rue-de-Royan-308-Laval-(Laval-des-Rapides)-QC-H7N6E7/21461090,"$2,110"
2117 Rue Tupper #1202,Nouveau,/ListingDetails/2117-Rue-Tupper-1202-Montréal-(Ville-Marie)-QC-H3H0B2/11102110,"$1,750"
551 Rue de la Montagne #609,"Ville-Marie (Montréal), QC",/ListingDetails/551-Rue-de-la-Montagne-609-Montréal-(Ville-Marie)-QC-H3C6S4/27573650,"$2,650"
185 Rue du Séminaire #1104,"Montréal (Le Sud-Ouest), QC",/ListingDetails/185-Rue-du-Séminaire-1104-Montréal-(Le-Sud-Ouest)-QC-H3C2A3/27475525,"$2,500"
64 Rue Prince,"MONTRÉAL (VILLE-MARIE), QC",/ListingDetails/64-Rue-Prince-Montréal-(Ville-Marie)-QC-H3C2M8/19927720,$31
7450 Av. De Chateaubriand #A,Prix réduit,/ListingDetails/7450-Av-De-Chateaubriand-A-Montréal-(Villeray-Saint-Michel-Parc-Extension)-QC-H2R2L9/17569307,"$1,650"
2455 Rue Harriet-Quimby,"Saint-Laurent (Montréal), QC",/ListingDetails/2455-Rue-Harriet-Quimby-Montréal-(Saint-Laurent)-QC-H4R3E3/14430037,"$3,350"
101 Rue Peel #304,"Montréal (Le Sud-Ouest), QC",/ListingDetails/101-Rue-Peel-304-Montréal-(Le-Sud-Ouest)-QC-H3C0Y1/22709664,"$1,850"
137 Rue St-Pierre #PH301,Nouveau,/ListingDetails/137-Rue-St-Pierre-PH301-Montréal-(Ville-Marie)-QC-H2Y3T5/27697313,"$4,000"
200 Boul. Marcel-Laurin #606,"Montréal (Saint-Laurent), QC",/ListingDetails/200-Boul-Marcel-Laurin-606-Montréal-(Saint-Laurent)-QC-H4M0A8/18087558,"$2,300"
1390 Rue du Fort #1104,"Ville-Marie (Montréal), QC",/ListingDetails/1390-Rue-du-Fort-1104-Montréal-(Ville-Marie)-QC-H3H2R7/12470476,"$1,375"
